person_id,workflow,correct_pairs,reversed_pairs,evaluated_pairs,tied_summary_pairs,same_source_time_pairs,missing_event_pairs,temporal_score
028998ee-babc-4096-9b28-001bc2f9a84e,direct,24,0,24,4,0,0,100.0
028998ee-babc-4096-9b28-001bc2f9a84e,hierarchical,21,0,21,7,0,0,100.0
028998ee-babc-4096-9b28-001bc2f9a84e,rag,19,0,19,9,0,0,100.0
028998ee-babc-4096-9b28-001bc2f9a84e,rag_verification,23,0,23,5,0,0,100.0
04df53ea-55c1-48d9-84a1-1f15c133b29b,direct,82,1,83,22,0,0,98.79518072289156
04df53ea-55c1-48d9-84a1-1f15c133b29b,hierarchical,76,0,76,15,0,14,100.0
04df53ea-55c1-48d9-84a1-1f15c133b29b,rag,35,0,35,10,0,60,100.0
04df53ea-55c1-48d9-84a1-1f15c133b29b,rag_verification,29,0,29,7,0,69,100.0
05192757-942f-460d-b4ff-004ec39cc5ee,direct,152,0,152,38,0,0,100.0
05192757-942f-460d-b4ff-004ec39cc5ee,hierarchical,131,0,131,22,0,37,100.0
05192757-942f-460d-b4ff-004ec39cc5ee,rag,107,0,107,13,0,70,100.0
05192757-942f-460d-b4ff-004ec39cc5ee,rag_verification,94,0,94,11,0,85,100.0
0c04d9fb-d8d0-4ee0-8fc9-0c3f7f148bdf,direct,100,0,100,53,0,0,100.0
0c04d9fb-d8d0-4ee0-8fc9-0c3f7f148bdf,hierarchical,132,3,135,18,0,0,97.77777777777777
0c04d9fb-d8d0-4ee0-8fc9-0c3f7f148bdf,rag,96,0,96,40,0,17,100.0
0c04d9fb-d8d0-4ee0-8fc9-0c3f7f148bdf,rag_verification,74,0,74,31,0,48,100.0
0f438665-d430-4adb-8acc-c3beed9e4942,direct,48,0,48,7,0,0,100.0
0f438665-d430-4adb-8acc-c3beed9e4942,hierarchical,44,0,44,11,0,0,100.0
0f438665-d430-4adb-8acc-c3beed9e4942,rag,46,1,47,8,0,0,97.87234042553192
0f438665-d430-4adb-8acc-c3beed9e4942,rag_verification,29,0,29,7,0,19,100.0
136c7916-4f9b-4e5c-bf01-77e9d2c681a2,direct,131,4,135,36,0,60,97.03703703703704
136c7916-4f9b-4e5c-bf01-77e9d2c681a2,hierarchical,153,0,153,57,0,21,100.0
136c7916-4f9b-4e5c-bf01-77e9d2c681a2,rag,58,4,62,16,0,153,93.54838709677419
136c7916-4f9b-4e5c-bf01-77e9d2c681a2,rag_verification,75,6,81,39,0,111,92.5925925925926
137b8481-4f1d-4b7f-babd-20f7117023ad,direct,160,1,161,29,0,20,99.37888198757764
137b8481-4f1d-4b7f-babd-20f7117023ad,hierarchical,128,0,128,82,0,0,100.0
137b8481-4f1d-4b7f-babd-20f7117023ad,rag,102,1,103,17,0,90,99.02912621359224
137b8481-4f1d-4b7f-babd-20f7117023ad,rag_verification,130,2,132,58,0,20,98.48484848484848
1705dd0f-011a-492c-b006-b27e03f2f4ed,direct,47,0,47,8,0,0,100.0
1705dd0f-011a-492c-b006-b27e03f2f4ed,hierarchical,47,2,49,6,0,0,95.91836734693877
1705dd0f-011a-492c-b006-b27e03f2f4ed,rag,47,0,47,8,0,0,100.0
1705dd0f-011a-492c-b006-b27e03f2f4ed,rag_verification,32,0,32,4,0,19,100.0
1dbe23dc-0d1e-431b-81eb-497282b46a14,direct,59,1,60,18,0,13,98.33333333333333
1dbe23dc-0d1e-431b-81eb-497282b46a14,hierarchical,61,7,68,23,0,0,89.70588235294117
1dbe23dc-0d1e-431b-81eb-497282b46a14,rag,72,1,73,18,0,0,98.63013698630137
1dbe23dc-0d1e-431b-81eb-497282b46a14,rag_verification,73,1,74,17,0,0,98.64864864864865
28570119-9cdc-4120-98c0-4edb76cf36a3,direct,42,0,42,13,0,0,100.0
28570119-9cdc-4120-98c0-4edb76cf36a3,hierarchical,45,1,46,9,0,0,97.82608695652173
28570119-9cdc-4120-98c0-4edb76cf36a3,rag,28,0,28,8,0,19,100.0
28570119-9cdc-4120-98c0-4edb76cf36a3,rag_verification,39,1,40,5,0,10,97.5
29ea304f-821d-474e-81a1-394ca3945e02,direct,59,3,62,16,0,0,95.16129032258065
29ea304f-821d-474e-81a1-394ca3945e02,hierarchical,61,1,62,16,0,0,98.38709677419355
29ea304f-821d-474e-81a1-394ca3945e02,rag,38,0,38,7,0,33,100.0
29ea304f-821d-474e-81a1-394ca3945e02,rag_verification,24,0,24,12,0,42,100.0
31f9612b-5a6b-48ea-887b-895772a83b99,direct,55,1,56,10,0,0,98.21428571428571
31f9612b-5a6b-48ea-887b-895772a83b99,hierarchical,53,1,54,12,0,0,98.14814814814815
31f9612b-5a6b-48ea-887b-895772a83b99,rag,38,1,39,6,0,21,97.43589743589743
31f9612b-5a6b-48ea-887b-895772a83b99,rag_verification,40,1,41,4,0,21,97.5609756097561
359014a1-10e6-4bd8-9ba7-513d021c971e,direct,59,0,59,7,0,0,100.0
359014a1-10e6-4bd8-9ba7-513d021c971e,hierarchical,52,1,53,13,0,0,98.11320754716981
359014a1-10e6-4bd8-9ba7-513d021c971e,rag,38,0,38,7,0,21,100.0
359014a1-10e6-4bd8-9ba7-513d021c971e,rag_verification,36,0,36,9,0,21,100.0
37b5ce4d-dcfd-4bb7-bee4-d597eb114703,direct,88,0,88,17,0,0,100.0
37b5ce4d-dcfd-4bb7-bee4-d597eb114703,hierarchical,59,0,59,46,0,0,100.0
37b5ce4d-dcfd-4bb7-bee4-d597eb114703,rag,74,0,74,17,0,14,100.0
37b5ce4d-dcfd-4bb7-bee4-d597eb114703,rag_verification,77,0,77,28,0,0,100.0
420df33b-0072-4124-b1c6-0589daef3677,direct,124,0,124,29,0,0,100.0
420df33b-0072-4124-b1c6-0589daef3677,hierarchical,125,3,128,25,0,0,97.65625
420df33b-0072-4124-b1c6-0589daef3677,rag,128,0,128,25,0,0,100.0
420df33b-0072-4124-b1c6-0589daef3677,rag_verification,128,0,128,25,0,0,100.0
42149ae1-6a3c-471e-a002-cb7263e8bb8c,direct,170,0,170,20,0,0,100.0
42149ae1-6a3c-471e-a002-cb7263e8bb8c,hierarchical,159,0,159,31,0,0,100.0
42149ae1-6a3c-471e-a002-cb7263e8bb8c,rag,163,0,163,27,0,0,100.0
42149ae1-6a3c-471e-a002-cb7263e8bb8c,rag_verification,155,0,155,35,0,0,100.0
51f15281-8840-4fd0-92de-89188ab8d736,direct,71,0,71,7,0,0,100.0
51f15281-8840-4fd0-92de-89188ab8d736,hierarchical,55,0,55,11,0,12,100.0
51f15281-8840-4fd0-92de-89188ab8d736,rag,61,2,63,15,0,0,96.82539682539682
51f15281-8840-4fd0-92de-89188ab8d736,rag_verification,44,0,44,11,0,23,100.0
58b8aad6-7327-4450-956f-b775be0f4984,direct,40,0,40,15,0,0,100.0
58b8aad6-7327-4450-956f-b775be0f4984,hierarchical,46,0,46,9,0,0,100.0
58b8aad6-7327-4450-956f-b775be0f4984,rag,43,0,43,12,0,0,100.0
58b8aad6-7327-4450-956f-b775be0f4984,rag_verification,45,0,45,10,0,0,100.0
5cfa1b7e-c60e-4bae-b31f-b6be2c09adcb,direct,113,1,114,22,0,0,99.12280701754386
5cfa1b7e-c60e-4bae-b31f-b6be2c09adcb,hierarchical,109,1,110,26,0,0,99.0909090909091
5cfa1b7e-c60e-4bae-b31f-b6be2c09adcb,rag,111,1,112,24,0,0,99.10714285714286
5cfa1b7e-c60e-4bae-b31f-b6be2c09adcb,rag_verification,83,1,84,7,0,45,98.80952380952381
5e434d78-b2f6-4d88-b327-fff6ee50b901,direct,123,4,127,26,0,0,96.8503937007874
5e434d78-b2f6-4d88-b327-fff6ee50b901,hierarchical,114,5,119,34,0,0,95.7983193277311
5e434d78-b2f6-4d88-b327-fff6ee50b901,rag,110,1,111,25,0,17,99.09909909909909
5e434d78-b2f6-4d88-b327-fff6ee50b901,rag_verification,96,8,104,32,0,17,92.3076923076923
61699d6d-904a-4ece-9026-cd61b3fd9a50,direct,34,3,37,8,0,0,91.8918918918919
61699d6d-904a-4ece-9026-cd61b3fd9a50,hierarchical,37,1,38,7,0,0,97.36842105263158
61699d6d-904a-4ece-9026-cd61b3fd9a50,rag,29,3,32,4,0,9,90.625
61699d6d-904a-4ece-9026-cd61b3fd9a50,rag_verification,34,3,37,8,0,0,91.8918918918919
68258b8d-7d36-4d32-9093-6170a32bf087,direct,33,0,33,12,0,0,100.0
68258b8d-7d36-4d32-9093-6170a32bf087,hierarchical,31,1,32,13,0,0,96.875
68258b8d-7d36-4d32-9093-6170a32bf087,rag,23,1,24,21,0,0,95.83333333333334
68258b8d-7d36-4d32-9093-6170a32bf087,rag_verification,20,3,23,5,0,17,86.95652173913044
69bf7e25-abb2-4dde-857f-f1138d4d0d8a,direct,87,0,87,18,0,0,100.0
69bf7e25-abb2-4dde-857f-f1138d4d0d8a,hierarchical,75,0,75,30,0,0,100.0
69bf7e25-abb2-4dde-857f-f1138d4d0d8a,rag,68,0,68,10,0,27,100.0
69bf7e25-abb2-4dde-857f-f1138d4d0d8a,rag_verification,51,0,51,27,0,27,100.0
6e93f9d9-213d-4f2c-a1f0-f475dacef554,direct,41,0,41,25,0,25,100.0
6e93f9d9-213d-4f2c-a1f0-f475dacef554,hierarchical,81,0,81,10,0,0,100.0
6e93f9d9-213d-4f2c-a1f0-f475dacef554,rag,70,0,70,8,0,13,100.0
6e93f9d9-213d-4f2c-a1f0-f475dacef554,rag_verification,40,0,40,5,0,46,100.0
8448b3fa-1f5e-45b5-bda5-eb0b7921b8cc,direct,87,3,90,30,0,0,96.66666666666667
8448b3fa-1f5e-45b5-bda5-eb0b7921b8cc,hierarchical,83,0,83,22,0,15,100.0
8448b3fa-1f5e-45b5-bda5-eb0b7921b8cc,rag,41,0,41,4,0,75,100.0
8448b3fa-1f5e-45b5-bda5-eb0b7921b8cc,rag_verification,66,3,69,22,0,29,95.65217391304348
900efb9a-fb57-4f25-b2a3-0a8c6f55b2d6,direct,37,1,38,7,0,0,97.36842105263158
900efb9a-fb57-4f25-b2a3-0a8c6f55b2d6,hierarchical,40,2,42,3,0,0,95.23809523809523
